,projectID,projectAcronym
3494,681895,MOFcat
3495,656923,IRON_DEPOSITS
3505,724608,JOINTATT
3506,661210,METAPHOR
3522,700907,PRIMORDIAL
3541,769192,LexsemLexcat
3542,799087,LIAE
3543,654861,DAM-NET
3549,655423,NIBSAD
3550,703162,QUERWG
3551,701558,MagNem
3554,738864,GRAPHEEN
3555,744037,QuEST
3558,699941,SmartStars
3559,715173,CHEMO-RISK
3573,771863,FLEXSEM
3588,640073,R2RAM
3592,647554,ENSURE
3594,716539,HybridSolarFuels
3596,794815,CF3-DIAZOMETHYLATOR
3598,738219,RODEO
3603,725555,PhotonICSWARM
3617,681432,RARE
3619,759159,LASER OPTIMAL
3623,691010,HUNTER
3634,656285,DEALS
3639,683341,CAtMolChip
3643,749815,XeMoon
3645,648991,3MC
3665,678371,ICY-LAB
3673,793318,QTherm-2D
3674,702655,INCREASE
3675,704030,AFFMA
3716,700961,CompOLEDs
3717,716678,ALUFIX
3721,702635,PCCDX
3726,671262,MMUVR
3733,715051,Spiders
3741,694745,MeerTRAP
3744,703238,NCR
3746,658341,NBSC
3752,799880,EyeTREAT
3754,665632,MemMOFs
3756,742401,NANOCHEM
3757,736943,MaQSens
3762,653784,OrganoMag
3764,758427,NEBULAR
3767,714850,THz-FRaScan-ESR
3769,795159,NEQC
3775,741121,MajoranaTopIn
3779,705194,SeQuCom
3781,639242,PlusOne
3783,681311,QUESS
3785,648667,PQC
3787,654469,ARTE
3810,702138,FastFlowSim
3811,742265,POLMAG
3812,745944,TwoCompQuaGas
3816,660061,NCDIFFGEO
3817,788185,E-DESIGN
3818,796048,PRESS-CHESS-KHS
3819,714294,QUASYModo
3820,716559,TOPOQDot
3822,661338,OPERACQC
3828,787515,ProMotion
3829,704192,CV SUBUNIQC
3832,648229,CNT-QUBIT
3834,824036,RNADIAGON
3843,793699,MULTI_FOLDS
3847,825710,SLAMseq
3851,701962,Rmat3
3860,680169,SUSPIRE
3873,715496,2DNANOPTICA
3874,703696,ADMEP
3875,639107,INsPIRE
3879,657424,QuantumLaP
3880,661433,Topological superfluidity
3882,706390,BEYONDCO
3883,746899,SCOOP
3886,636829,PRIMCHEM
3887,799302,redTADF
3888,739891,Wearonics
3900,700101,Giantleap
3908,767625,Eco-Bot
3919,706809,DIPPHASE
3923,750901,ABISSE
3946,771036,MAIDEN
3948,675512,BE-OPTICAL
3957,646927,WANDERINGMINDS
3958,702491,NeuralCon
3977,705225,MEDICINE
3992,660449,Beta-splicenet
3993,803972,PROPHECY
3994,694282,LYSOSOMICS
3996,759427,MisloQC
4014,648518,SUPERCELL
4015,751918,AgroPHYS
4017,665634,TONALITy
4018,797236,FESTIVAL
4019,642157,TOLLerant
4035,757440,PLASREVOLUTION
4053,690819,PHOBIC2ICE
4058,706094,TONSOPS
4059,645441,women entrepreneurs
4066,748971,SUPER2D
4068,681740,HYMNS
4081,724529,MULTIFLEXO
4083,655653,KinCoop
4085,675137,MyFUN
4095,814650,SynBio4Flav
4106,832121,4lessCH4
