,projectID,projectAcronym
34200,750483,EUROFRONT
34201,694732,NARRATIVENSCIENCE
34202,846958,VERTEXCULT
34204,678711,INCOMMON
34206,725883,EarlyModernCosmology
34210,770816,CATENA
34213,746390,Realist
34215,715593,CROME
34216,681507,BeyondtheElite
34217,701891,HPHS
34219,714569,Lawforms
34221,740611,CLCLCL
34234,695573,COLOUR
34235,670726,TVOF
34238,796025,Mesophotic
34242,699858,EGYWINE
34243,669253,FIRST LIGHT
34246,750682,GYSIART
34248,683033,SFS
34249,825103,CUSTODIAN
34259,682760,CONTROLPASTCO2
34264,771383,Global Horizons
34266,741487,QFPROBA
34267,694544,OMNES
34269,701355,NAMDIA
34271,705033,AggregationKinetics
34272,648017,InvGroGra
34276,647434,DOQS
34278,778405,AUTOIGG
34287,741105,EmpoweredLifeYears
34288,636881,REProMag
34315,774234,LANDSUPPORT
34351,745888,ChildAct16
34370,748314,CAP-SAliPharm
34372,738010,Green Gravure
34377,792738,WomENt
34382,640012,ABLASE
34390,776758,CLIC
34410,641988,SMART GROUND
34425,635595,CARBAZYMES
34440,636220,TIMON
34484,678034,GREENLULUS
34499,752163,WARCAP
34500,727874,SABANA
34511,713279,CAROLINE
34515,731656,GOAL
34519,748066,MILO
34537,826087,M2O
34571,669105,PULP2VALUE
34579,817999,BIOFIT
34620,732189,AEGIS
34635,637632,GOTOFLY
34641,727864,EU-China-Safe
34679,645267,FANCI
34687,690378,FLOWERED
34701,764799,ADVANCEFUEL
34717,740787,SMESEC
34736,732969,MOON
34744,823126,TETUS
34749,723879,HIPERLAM
34795,685937,DIMAP
34808,706396,E2D3S2
34809,633477,MORE-CONNECT
34844,745530,ANCAVE
34852,687428,AURORA
34862,688510,Teraboard
34870,723916,InnoWEE
34902,681597,MIMIC
34903,779540,NEPTUNE
34910,656093,SynOptic
34911,705269,SCOUTFermi2D
34932,741128,GEECCO
34941,862025,ADAM^2
34951,645463,U-Test
34962,692653,NOVOFLOP
34992,633192,ToMax
35002,641661,POWERSTEP
35052,747985,BioNetIllustration
35053,657788,MEHYB
35054,755744,TUCAS
35061,675657,FLOWERPOWER
35097,660047,PAnaMoL
35098,793558,STARFLOOD
35099,743032,DYNAMINT
35100,702612,OEMBS
35103,715861,ERQUAF
35107,715683,CONSTAMIS
35108,655310,LDMRD
35109,758403,ODYSSEY
35112,710240,EDU-ARCTIC
35118,637908,STIGMATICS
35119,677199,PREWArAs
35120,753276,IPUSS
35127,700952,ISLANDPALECO
35129,786379,ArsNova
35131,635356,COOPERATION
35132,750252,StoiCa
35138,746191,FIRESCAPE
35139,653241,OMNICS
35140,644320,IMIXSED
35149,700867,Pod Yield
35151,688015,mHealth4Afrika
35162,659520,CONTESTEDWATERS
35163,704994,Labour and Migration
35167,707187,MABVOC
35168,641974,green.eu
35180,660337,MAFRI
35183,661211,ConservaTEAM
35184,703045,EPP-Am
35185,660020,MF-RADAR
35187,677039,ClimeFish
35208,691060,PRUV
35219,755753,CCLAD
35220,647314,Becoming Men
35249,669074,CEITER
35250,734578,D-SPA
35259,668981,EnvMetaGen
35260,694658,TRANSPOS-X
35262,788001,GlobalGoals
35263,776851,CarE-Service
35279,643889,eStandards
35291,637768,EQUALIZE
35292,785155,BIMcert
35299,676139,INFRASTAR
35309,734205,NEWEX
35341,677493,FEVER
35343,659969,HESFIRE
35344,810980,ENeRAG
35347,658997,ExMeCy
35357,724151,FOOD CITIZENS
35358,687818,Open4Citizens
35366,644242,SAPHELY
35378,679158,ResolutioNet
35379,812986,EPIMARK
35387,687584,TANGO
35412,661659,REINVEST
35416,744977,MAP
35451,658556,NanoBragg
35463,774145,Net2DG
35473,755641,MISSP
35478,677748,Ubl-Code
35484,693928,RecoveriX
35485,769072,Park4SUMP
35507,678426,MIRASYS
35512,640955,A CACTUS
35513,784966,KeepWarm
35525,696535,ComaWare
35527,733020,PJ07 OAUO
35540,636592,LOWBRASYS
35553,649810,Train-to-NZEB
35593,747809,CReScenDo
35602,769975,SoCaTel
35619,813236,FREESPACE
35624,768960,VIRTUAL
35641,771410,DarkComb
35648,756998,SnowRESolution
35678,648610,Family Justice
35680,724231,DIVERSE-EXPECON
35681,789562,BIO4A
35694,776740,WeObserve
35705,635973,BENEFIT
35737,636816,MEASURE
35746,776604,CLEVER Cities
35780,768884,NEXT-NET
35786,713721,NanoMedPhD
35787,648841,RATCHETCOG
35795,746312,ACOSA
35797,810812,FASTER
35804,749353,ISSP
35805,646883,SHARECITY
35808,734824,GETM3
35864,745746,EMBRACED
35880,643712,GreenBubbles
35891,810139,PORTWIMS
35894,661429,POLIS
35895,771872,Urban Sharing
35900,753328,EpiAGPs
35934,767173,ENERPAINT
36024,768718,RenoZEB
36106,649255,GEMM
36152,636942,CONSENS
36172,672930,BrainPEER
36187,679371,GECEM
36189,830202,AQUOLIVE
36191,745246,LigniOx
36225,732665,EMMA
36236,728030,EURASTIP
36257,774199,IRIS
36303,644042,COSSIM
36316,788829,MSTAR
36317,821398,EATEEM
36319,768945,HyMethShip
36332,637624,ThermoTex
36335,636164,WRIST
36345,789410,HIDDeN
36346,644378,smart-MEMPHIS
36358,769989,DRIVEMODE
36375,659933,MARSS-5G
36376,676448,COIN
36380,639459,PROMISE
36382,758027,PrecisionNuclei
36385,690047,Urban_Wins
36429,811187,FlowShield
36430,688750,HAMLET
36436,826392,UltimateGaN
36471,761794,TERRANOVA
36479,715776,MODulATE
36481,773208,ImmunoFit
36484,792532,TC-Evo
36501,643558,EMI-TB
36515,707998,REGDAM
36516,670424,SENTINEL
36517,657189,DC cancer
36520,706196,EVOL-WNS
36521,647038,BIODESERT
36525,704822,MedCoRes
36526,636983,PLATINUM
36527,701192,VSHER
36528,794656,Humanist Marxism
36531,693669,EU-LAC-MUSEUMS
36539,705763,STUSOCSTA
36541,670628,SICLE
36542,704227,Young-Italian 2015
36547,654994,CAT-CAM
36549,700913,SAGDESOR
36552,703225,OHS
36556,658813,Old and New
36557,693418,ImpAncCit
36571,695515,PETRIFYING WEALTH
36573,776708,HOUSEFUL
36590,648143,SpoKiGen
36591,704716,SPES
36592,659644,SPERONI
36595,655921,BURIAL
36598,645654,TOPWOOD
36603,703595,TASTGCEP
36604,646894,TRACES
36609,660630,ICE-OTOPE
36611,785635,ATTACK
36613,701329,FIBER
36614,645852,DIGIWHIST
36620,709372,CSA-EU
36621,706318,FREYA
36622,677367,FluoroFix
36623,656731,ECAMMETT
36624,726349,CLIMAHAL
36627,742654,EpiTrack
36635,751376,C-mapER
36636,687676,BEACONING
36651,692191,SmartEIZ
36655,654424,SustBracedMHaz
36658,802512,COSMOLOCALISM
36675,699381,STRESS
36686,768780,Repro-light
36726,720851,PROTECT
36749,655279,ResolvedJetsHIC
36750,769638,INTEND
36761,677625,FlexHyJoin
36782,657366,SPECIFIC fMRI
36784,772827,YinYang
36789,715775,PLEIADES
36807,721846,ExSIDE
36842,687412,APOLLO
36860,734712,IKID
36866,720326,BIOCOMPLACK
36887,793823,TRANS-END
36889,742645,BaSaR
36897,655424,Inflammafish
36899,787826,NECROPTOSIS
36901,751977,CFZEBRA
36902,753058,DSMT16
36907,825670,CardioReGenix
36921,802878,FunDiT
36922,746980,FiTTeR
36923,677623,RELYUBL
36924,845479,LEPVORS
36926,649019,RNAEDIT
36932,655153,IgEPath
36933,681493,CD40-INN
36939,715466,3D_Tryps
36941,714680,Cytokine Signalosome
36947,637877,PredicTOOL
36949,747392,SupaSteD
36951,658061,iRhom2 in AD
36952,792367,UTILIUM
36955,675106,DISSection
36957,655677,GutILC3
36965,771534,PneumoCaTChER
36970,680426,SYMBIOPTIMA
36997,809988,RENATURE
37003,649621,GreenPlay
37012,810764,TRUST
37016,716974,Becoming Social
37018,695300,HKADeC
37020,857552,REPARES
37025,675715,MIMESIS
37041,649342,EUFORIE
37047,722295,RUNIN
37063,708448,FOL
37064,645553,DANCE
37068,691679,CoolHeating
37079,707763,FOODEV
37120,707017,TRANSITION-FRICTION
37121,648427,NEGEVBYZ
37138,695985,SCOoPE
37159,785367,DILECO
37170,679891,IntelGlazing
37171,769241,ENABLEH2
37207,754490,MINDED
37226,746889,HSPLS
37228,733288,ORTHOUNION
37239,714224,MIX-Effectors
37240,800981,Pan3DP
37246,679551,GeneBodyMethylation
37247,768600,UtilitEE
37259,677140,MIDLAND
37260,796315,InvestorCliques
37265,668467,SmartLi
37297,642433,PIANO
37307,679345,SLACC
37342,677713,GutBCells
37343,825825,UPGRADE
37351,707525,FIBROCAN
37352,701747,UrbPOLS
37355,747114,ILCSIGNALLING
37356,644035,REDOXIT
37360,660147,PRe-FActo
37361,751954,GD TCR LIGAND
37396,786945,COSMIC
37413,653323,C-BORD
37473,714693,ROBUST
37474,740922,Group Agency
37475,644869,DICE
37498,779444,Portapower
37513,657982,Cheap-GSHPs
37531,722023,TREASURE
37566,726788,IMPAX
37580,692465,DELPHI4LED
37595,687884,F-Interop
37607,669461,NorFish
37623,666644,BioValue
37636,872249,DEMOGRAPHICA
37639,829644,NOTUS
37641,732423,PYCSEL
37661,858504,Turbo-FCell
37664,669132,TRODITIES
37676,708305,SIPEA
37683,647049,MACROUNCERTINEQ
37684,666412,I-DISC
37696,779899,SecureIoT
37711,703382,RES INV
37715,780602,Lynx
37739,636329,EfficienSea 2
37778,786773,PEN-CP
37823,681696,DEPP
37829,727481,RE-SERVE
37844,647315,GlassRoutes
37863,678193,CERES
37903,642356,CYTO-WATER
37930,725240,European Unions
37944,754112,INNOVATE
38011,807083,GAM AIR 2018
38031,754580,SHERLOC QSP
38033,659270,Micro-SOLUTION
38034,792214,CREPE
38035,777595,Mat4Rail
38056,742829,DRIVEN
38060,810318,IN4ACT
38092,727610,PerformFISH
38120,724544,AveTransRisk
38122,806245,RETINAL
38125,784620,NYSMART
38127,826653,NewControl
38199,738589,ARGO
38205,660763,RecRoad
38206,646714,RG
38211,730075,HiperLoc-EP
38235,773839,PLANET
38249,801352,OPTIMISM
38258,733901,VRMIND
38295,666363,OPE
38345,646428,Flex4Grid
38358,754802,CHIMERA
38367,821300,HAIRMATE
38380,661092,STRETCHLENS
38381,701621,MULTISIMO
38382,672680,proLungPlasma
38391,674474,ADDIA
38398,792331,MetaBil
38402,659449,CuPESS
38403,753420,EcoEvoProspectS
38405,683043,RESPONDER
38407,694656,RomaInterbellum
38415,660643,BT-LH Link
38422,747607,TERRESTREVOL
38426,707693,EHMVSIMF
38428,703374,NMR4Nanos
38429,675370,PHA-ST-TRAIN-VAC
38431,725051,EVOLVE
38443,771714,FatTryp
38445,661271,REBuILD
38447,747687,LamelliActin
38474,683136,Immune-senescence
38478,670645,switchlet
38495,783163,iDev40
38539,754658,CARAMBA
38550,639564,HERITAGE
38554,801378,MAGNIFY
38614,642612,VPH-CaSE
38666,721465,ColOpt
38679,692216,SUPERMAT
38791,686841,MAGNEURON
38798,641833,ONCORNET
38821,820391,SQUARE
38829,674979,NANOTRANS
38844,766972,NANOPHLOW
38893,694918,reLIVE
38895,647455,RegulRNA
38896,707918,LORD
38897,871501,NeurONN
38903,764479,EMERALD
38913,721484,Train2Target
38963,682978,EXCITERS
38964,847527,SAMOSAFER
38978,716542,TRANSCALE
38979,645206,MECANEX
38990,717194,AMATHO
38994,768869,Z-BRE4K
39020,691192,MAKERS
39040,748649,MNEMONIC
39043,637080,SYMPLEXITY
39061,680725,TWIN-CONTROL
39072,787128,SYSTEM
39095,727362,GRIDSOL
39141,753682,OCEANURB
39153,741728,LockChip
39156,646116,RealValue
39181,690915,CARIM
39215,822258,PAH-HOPE
39220,644048,BEACON
39268,659901,CLIMAGNET
39270,648913,GAPS
39273,766656,ShipShape
39276,818757,K-TRIO 3
39293,716823,FEAR-SAP
39303,771035,conVIRgens
39304,672231,H3O
39305,758003,MICRORULES
39306,648440,EVOLHGT
39310,802331,PREDATOR
39311,745823,ACTIVEMOTION3D
39312,704263,Gap2bridge
39315,797113,BRAIN
39317,654712,SINHOPSI
39319,778616,ANTNAM
39320,669820,LANGDYN
39327,682754,PhyMeBa
39331,644663,RIFE
39343,647787,LocalAdaptation
39344,700778,CRESO
39346,647479,UPR NEURO
39349,797106,CASACAMAhyps
39350,745730,DyNAmics
39351,766264,MAGISTER
39368,681987,SynthHotSpot
39369,772798,CellFateTech
39378,726380,NanoMOFdeli
39379,655764,HQSTS
39380,656325,EU-BEADS
39382,705113,2for1-SingletFission
39383,682833,MatEnSAP
39384,700031,MORE-or-LESS
39397,645124,UMOBILE
39409,747666,TEI
39410,679774,HetScaleNet
39411,681565,EDWEL
39413,757381,NonCovRegioSiteCat
39414,722842,PlaMatSu
39427,659102,GroupsComputability
39430,679789,CONTREX
39432,723951,IMBIBE
39433,780848,Fun-COMP
39507,764935,DOC-3D-PRINTING
39517,703195,SOCISS
39518,823907,MENHIR
39527,703950,HEAPPs
39528,640887,LTCeramics
39538,785337,MUPIA
39541,825122,3D Cer-Met
39543,701981,THAUMECOPHYL
39548,638134,TRANSFR-Q
39549,714774,GENECLOCKS
39550,647320,Enhancer ID
39551,657918,CAPITULA
39556,772026,POLYADAPT
39557,769944,STEVE
39578,716132,Mushroomics
39581,701646,MatTypeEvol
39582,726776,VORTEX
39585,666425,ECO-SILENTWOOD
39601,754159,ALDREN
39610,720743,LIPES
39615,644862,RAPID-MIX
39664,644461,EPP - eHealth
39675,691173,REACH
39712,656937,QuantMR7
39713,701289,cryo-bacteria-reactor
39714,702149,ZeoSynMech
39715,716971,INFO-LEG
39716,680759,ReCaM
39726,665020,uDAS
39727,648810,Integrating Turkish
39732,660280,SymPathInfect
39737,658352,MitoTAGs
39741,638106,NEUROMITO
39743,708842,ElectroMAD
39744,658784,MARCS
39745,740427,BrainEnergy
39747,780718,MIRASPEC
39753,665868,SciChallenge
39762,654091,CO2NOR
39763,703060,MECHANISM
39769,797603,Peripheality
39770,690750,ATOM
39777,857636,SInnoPSis
39778,810686,TImPANI
39786,819819,APOLLO
39829,703497,CAP-CANCER
39832,750904,GLAZE
39840,658769,MYO-DESMOPLASIA
39841,831690,PEROGAN
39844,683000,HepatoMetaboPath
39846,794386,LYSOBONE
39853,706784,PRESSURE
39854,723242,CENTRELINE
39866,758221,MESG
39869,747257,PLANAFFHO
39872,801953,ENCOUNTER
39875,840081,CriticalBoseBox
39885,677501,ZF_Blood
39886,785349,PROTEUS
39889,669237,Oligomers
39890,742808,Group-Dynamics-TCB
39892,704175,SMART-BONE
39894,685474,METAFLUIDICS
39909,702574,CollBioImag
39910,726470,CAM-RIG
39911,658818,FLYghtCaRe
39913,803711,EFMA
39914,836989,GRACE
39918,751257,ColoFILM
39929,742290,TOLERANCE FOOTPRINT
39932,880603,AuriMod
39935,767412,SPRING
39961,653514,OSEM-EV
39973,656148,PRENET
39975,646827,NOVCARBFIX
39976,655392,SexDiff
39980,658031,GenSPI
39983,746253,AEGILWHEAT
39984,771376,REBUILDCNS
39986,655487,GENOMIC FOOTPRINT
39993,695192,TACKLE
39994,660003,FraxiFam
39997,742133,GENSURGE
40001,654699,OPSINEVOL
40003,787074,NucleolusChromatin
40004,694694,ChromADICT
40006,824060,ACDC
40025,689925,SafeWaterAfrica
40047,824348,ENDURUNS
40137,679190,AFFORDS-HIGHER
40156,730471,CHROMIC
40183,779611,CATALOG
40184,703972,ClusterDynamics
40194,700300,GrInHy
40202,707807,HealingFromEnclosure
40218,700564,HEATSTACK
40225,768634,UPTIME
40239,648365,REPLICOLL
40240,715871,DIMO6FIT
40241,734599,FIRST
40250,695495,ATTO
40253,644497,proDataMarket
40304,754630,Light AIOL
40306,686031,MATChING
40324,776369,BELS-PLUS
40333,643806,MyCyFAPP
40352,795214,RAE 2017
40354,712754,BEST
40356,705874,QUANTUM LOOP
40358,749667,PhotoNanoBone
40360,702300,NanoIntra
40368,777483,ICEDIG
40396,721933,UrbanHist
40411,647019,CHILE
40412,703733,STILLING
40413,734645,KEAC-BSR
40425,657240,ICONOPHILIA
40429,658110,NORNS
40431,648766,Elephant Project
40434,700759,INDSOC
40436,659437,HistoricEpi
40437,659625,PATRIMONiT
40440,681627,BUILDUP
40456,679873,MONASS
40457,708119,DUSC3
40458,742635,AnonymClassic
40459,655993,FireAndRiskPrevention
40461,745631,GRIDAMUS
40463,679083,HUNAYNNET
40467,822336,Mingei
40478,694145,IFAMID
40479,657861,MIGWAR
40480,641202,ThermoDrill
40529,713682,ERIDIAN
40531,715824,POINTS
40591,716689,CANCERSCREEN
40606,715530,QUALITY
40612,776405,ENSPACE
40670,750405,RE-mapping
40704,654606,NANOGRANITES
40706,758199,NEWTON
40708,770017,DEMOBLACK
40717,716151,BACCO
40719,635919,SURFINK
40720,724373,GRADIENTSENSING
40724,716117,OPTRASTOCH
40727,715767,MATERIALIZABLE
40729,737549,TURBOPOC
40730,715257,SexAntag
40732,682815,TOCNeT
40735,685842,EIROS
40753,694227,AQUAMS
40755,705365,MOFMAP
40760,789454,ComBIOsites
40777,664892,InnoSMART
40787,789815,MINIRES
40806,645101,SmokeBot
40817,754745,ImmortaSTEM
40843,654446,FlexiFuel-CHX
40856,754514,ROMA
40859,656024,EcoSwing
40882,757609,CGinsideNP
40883,646296,Hi-Response
40909,724087,ORCA
40944,825647,REFREAM
40988,664605,smartpolis
40992,731560,KidsAP
41006,646650,SINGWAVES
41008,790518,PixCell
41009,690973,PELICO
41015,656870,ARTIST
41018,655444,ATMCinsituNMR
41019,655297,STOPAPCG1IMP
41021,665958,MWK-Fellows
41046,746250,SimSolidAM
41048,643924,EoT
41068,810685,DelNAM
41071,716311,SWEETBULLETS
41072,687528,StarFormMapper
41077,637095,FourByThree
41094,720402,Intel-Line
41105,645119,TAPPS
41116,674875,oCPS
41134,734909,PROSFET
41162,741278,EPIC
41163,678341,USECFrontiers
41169,871449,OpenDR
41178,715283,CC-MEM
41179,701032,MOLAY-STRUDEL
41180,637339,CoqHoTT
41182,725369,DenseMatter
41193,758539,EpComp
41194,706482,BIODIV ISLAND-CONT
41197,826266,CO-ADAPT
41207,787758,GODELIANA
41209,637747,RiP
41210,788616,YMPACT
41215,770299,NewsEye
41224,682068,PRESTISSIMO
41230,716063,DrugComb
41231,659070,Cyanolichens
41232,717233,POLITE
41272,666157,ALISE
41290,656530,ETAB
41291,754046,CoNZEBs
41300,732242,DEIS
41310,678503,CerAMfacturing
41349,749154,SURGE
41351,748452,Justhood
41362,645376,FLOBOT
41380,646580,AnyPLACE
41422,716950,XSTREAM
41423,646807,EXMAG
41433,771527,Browsec
41456,857612,GATHERS
41462,819957,LRC
41471,768623,REZBUILD
41486,770115,INCLUSION
41504,679734,TRANSREG
41506,694683,PHOSPhOR
41509,639270,SYMCAR
41511,694266,SuccessfulGovernance
41513,771874,SpaceLaw
41517,751911,MIGRANT LAW RUSSIA
41524,659104,LeSoDyMAS
41525,752999,HOST-SELECT
41530,638218,MolStruKT
41531,658932,TWISTER
41532,658967,TIME
41545,724909,GermlineAgeingSoma
41548,716290,SCUBA CANCERS
41550,648617,AdaptoSCOPE
41552,772376,EScORIAL
41553,745862,EnFAIT
41564,682311,ONCOINTRABODY
41566,703093,DMD2CURE
41584,637709,GREYZONE
41585,769599,ECO-ZEN
41587,706429,HairGen
41588,740311,f-ex
41590,788093,GrowCELL
41591,656869,COSMIC SHEAR
41592,737574,WRAM
41594,716315,AlCat
41595,706329,cOMPoSe
41596,795082,PolyBact
41597,667387,SupraChem Lab
41598,795630,LasInPOP
41599,704459,HYBOCOMIX
41614,705054,NOFLAME
41615,744817,RANPOFIL
41617,695716,Jellyclock
41618,685909,SKHINCAPS
41627,786560,NanoMop
41629,643892,RADIO
41639,704734,SUPRACOPHS
41641,694504,SYSDYNET
41654,659233,Photovitamin Windows
41655,666328,PreventSepticShock
41656,731529,STAMP
41667,731330,VERSATILE
41683,646260,R2R Biofluidics
41702,723277,Factory2Fit
41713,732016,COEMS
41719,723658,ScalABLE4.0
41728,723201,CoEXist
41743,777373,ZEBRAONCOFISH
41761,655176,BlaC E-assay
41773,680735,openMOS
41790,688217,ROBOTT-NET
41796,686946,REDISH
41798,644179,ENTICE
41821,715546,Tesseract
41826,636354,SYNCHRO-NET
41852,654038,DecoMP_ECoG
41855,649690,HERON
41863,723906,Z-Fact0r
41879,755332,AEMS-IdFit
41880,664782,VANGUARD
41882,647295,SYMBIOSYS
41883,765275,ONFIRE
41888,699829,ETIC
41894,789058,eHONESTY
41906,727536,SoftHand Pro-H
41918,793644,BIONICS
41936,659227,STOMMAC
41945,678109,ICARO
41946,823943,FISHSkin
41957,787367,PaVeS
41960,647725,NEURO-PATTERNS
41966,640550,DASMT
41967,645691,ECOFISH
41975,818310,BioRen
41990,810708,INEX-ADAM
42050,645215,No One Left Behind
42057,757130,ACME
42073,734035,ShaMROCK
42077,660646,PRIME
42078,825299,GoURMET
42086,635872,CIRCODE
42087,678423,EpiID
42088,647276,MARS
42093,737183,DISCOVERER
42103,656127,3F-FutureFreshFruit
42106,706115,HEAT-WHEAT
42108,637971,BacBio
42109,695566,THERACAN
42110,679744,DIALOY
42111,680435,PERFoRM
42133,723909,AUTOWARE
42154,753219,CoMRAde
42158,700667,SOSLeM
42167,661526,IMAGUS
42184,665779,COFUND-FP-CERN-2014
42203,637019,MathAm
42205,702610,Resummation4PS
42209,679038,MIRACLS
42210,659147,PrecisionTools4LHC
42214,745954,Tau-SYNERGIES
42216,658980,ORGANO-GOLD CAT
42217,722071,SynFoNY
42224,704292,TORWIRE
42225,703861,FANSOC
42226,797153,SOPMEN
42227,772299,FunctionalP4
42229,637476,Lensless
42230,659575,MicroFrac
42232,644013,CREATe-Network
42246,758056,PURPOSE
42254,838526,SuperCoop
42258,678202,HurdlingOxoWall
42261,703566,MAGPLANT
42262,771146,TOUGHIT
42266,704172,RACE
42272,731143,CID
42302,695223,ESTIA
42305,703117,Crossover control
42306,680324,RivRNAStructureDecay
42307,785416,ENIGMA
42311,679056,HOTSPOT
42313,683107,TempoQ
42314,724695,FRICatANIONS
42318,686509,E-TSIN
42350,699307,PARTAKE
42359,821081,DAHLIAS
42366,821043,ADORNO
42392,656361,STATE CAPACITY
42394,688920,REPAiR
42412,639084,LEGALARCHITECTURES
42413,703063,JUSECON
42414,727745,Trillium II
42434,794012,MInMUS
42439,857261,MIGREC
42443,748463,CONPLEX
42457,787068,DEFeND
42469,649829,multEE
42479,716923,LEVIATHAN
42480,770640,GREASE
42491,661479,MLGPIL
42493,799203,PATGOV
42494,723194,Cities-4-People
42522,751782,GLEC-LAW
42529,705046,SocialAccent
42530,748161,CALOSEMA
42531,645706,GRAGE
42547,799805,SECCON
42660,648455,IL7sigNETure
42662,648716,C9ND
42663,748880,GlycoModels
42664,725085,CHEMMINE
42669,677943,DynaOmics
42672,752415,FRAGMENTOME
42674,771121,TARGETMENISCUS
42675,800048,PCaProTreat
42677,670668,FRESCO
42679,678396,TAPAS
42682,641544,G MOTIT
42717,703978,SWATCH
42719,637537,ACHILLES-HEEL
42721,765408,COUPLED
42741,821940,EO4AGRI
42752,749514,CONSUMEHealth
42754,691109,ExpoSEED
42775,657223,EWTEK
42778,638873,BeeDanceGap
42783,655119,MycoTest
42784,777900,CleanPack
42785,668953,PROMINENT
42795,746396,DELLATECH
42797,700189,LoCo
42798,788380,LEAP-EXTREME
42801,751883,PTMCnano
42817,656467,SUPRONICS
42820,648831,MyNano
42821,747801,AntibioPICs
42823,768930,HIPER-G
42824,702927,GLYCOSENSE
42834,765602,CITYCARE
42854,701972,LWIMT
42855,679646,PHOTOTUNE
42896,671648,VirtuWind
42908,745598,NOVEL
42914,646917,ROMIA
42916,692854,HIEXP
42918,801708,ANTICIPATE
42919,670239,1stProposal
42920,682150,ErgComNum
42922,795119,CARBS
42927,714704,CUTACOMBS
42931,754411,ISTplus
42935,797850,ITS A DIVE
42936,714034,SMART
42937,694020,HEXTREME
42938,641794,DREAM-GO
42947,769052,MEISTER
42960,692521,In-Business Growth
42966,652601,WINETWORK
42977,643442,IN LIFE
42997,727832,OPenPal
43015,815279,5G-VINNI
43051,672814,SWORD
43052,777594,OPTIYARD
43065,731063,MSO4SC
43077,711193,D3
43078,726763,SDN-Polygraph
43088,691567,GN4-1
43129,780681,LEGaTO
43144,759661,SPOCkS MS
43161,714486,SPAIN
43163,776356,SpaceUp
43173,646226,Trash-2-Cash
43218,823997,SECONDO
43276,653642,VisiOn
43302,737586,SAVEBRAIN
43331,705577,TechPolChange
43332,748905,GoSMEs
43333,657949,LOBFRAM
43334,749899,REGAIN
43338,661057,CONGO
43351,645730,CLUSDEV MED
43359,780755,SAMS
43367,794211,PHOTOCHIRO
43386,704582,MIGRADAPT
43400,708374,FreshProof
43404,792049,ReInvent
43431,682602,BIGSEA
43432,746136,EPILIPIN
43433,750602,UFICS-QRNG
43434,761813,HRadio
43443,707326,PhotoCloth
43458,653337,NEXES
43477,644331,PING
43485,647316,EUROPINIONS
43486,746142,Wave-Locked Loop
43487,820314,MicroQC
43492,687295,TeSeR
43509,708122,MOCCA
43516,638221,SocialMedia
43518,694610,SUPRABIOTICS
43521,802836,AxScale
43522,704187,HEFTinLOOPS
43523,640645,BetaDropNMR
43524,780151,TWIST
43552,755151,MEACTOS
43569,669014,PaRaDeSEC
43581,755330,NOMAD
43600,647077,NewSpindleForce
43640,654761,BIOXYARN
43686,759782,activeFly
43687,750030,INIMUD
43689,679058,DIRECT-fMRI
43691,640093,LOCOMOUSE
43708,753100,Neuronal MRI
43714,679080,PNICTEYES
43719,740384,TheSBIE
43721,640988,FLPower
43722,642685,MacSeNet
43738,681601,BuildingPlanS
43740,743545,FishMan
43741,679140,CentSatRegFunc
43743,777067,NECOS
43766,737543,IMAGO
43767,748767,SIMFREE
43772,691213,EXCHANGE-Risk
43784,680478,MC-SUITE
43797,665778,POLONEZ
43799,790594,Resolve
43802,751761,PGXOME
43807,749201,PRE-PSYCH
43814,725229,EVICARE
43816,733169,WEAKID
43826,637645,WayTO
43830,749971,HyQuIP
43831,694767,ECSAnVis
43833,709147,GeNoSOS
43834,706672,ITPF
43844,646568,FLEXMETER
43856,737954,SISCERA
43869,680604,sustainablySMART
43890,730482,CLARA
43945,824962,Car2TERA
43979,698494,ELOXIRAS
44022,682288,INFL
44030,661398,ARC-HPV
44031,787702,UPRmt
44036,676828,VAMOS
44039,784514,BADGER
44040,796089,NovInDXS
44041,733079,anTBiotic
44051,654221,SERISS
44063,777491,SMEthod
44074,787764,PathEVome
44077,635759,FUTURE-FOOD
44084,675153,AdaptEconII
44092,642014,IPCOS
44107,639478,AuxinER
44112,750553,RURECO
44113,752656,DRiveR
44121,705808,PINBAC
44122,700036,FUNBIT
44123,660648,FOMBIST
44126,657441,EcoDA
44138,708227,CAPABLE
44143,645865,SPOOC
44145,715058,InStance
44146,657296,SCDCDC
44147,639445,NewEat
44149,678565,STEM
44152,756017,ARMOR-T
44158,749058,BLMs 4 TB
44160,777832,bTB-Test
44170,772022,DynaMO_TB
44173,798846,CuCAN
44189,747170,PGOLDCAT
44190,661187,PROVIST
44192,678623,PEP-PRO-RNA
44198,749012,SHAPPI
44199,714623,FunKeyGut
44201,677749,YlideLigands
44204,638271,BIOSUSAMIN
44207,657755,ArtOxiZymes
44209,742987,BIO-H-BORROW
44210,669628,TRIGGDRUG
44211,792772,Ancestral
44214,741002,DOC
44216,799501,CoDEC
44218,727477,CL-Windcon
44234,767234,ArthroDUR
44235,645677,SMART GEMS
44248,767560,MUSIC-haic
44263,785539,CIDAR
44282,755617,SENTIFLEX
44285,691184,NASDAC
44290,825783,SERENiTi
44293,743713,MAWAMOSCA
44297,681405,Dynasore
44305,680569,SIMUTOOL
44316,657016,FEEC discretizations
44322,787472,SelectiveTGFb-inhib
44323,771704,NoMePaCa
44327,725492,WHOLENICHE
44328,794629,REMIX
44329,800924,iCARE-2
